organization_key,canonical_name,normalized_name,category,parent_name,resolver_status,confidence
org_medical-school-columbia-un-college-physicians-su_859385a16d2b,Columbia Un College of Physicians and Surgeons,columbia un college physicians surgeons,medical_school,,cleaned_label,0.55
org_medical-school-columbia-university_df55fcb188fc,Columbia University,columbia university,medical_school,,cleaned_label,0.55
org_medical-school-columbia-university-college-physi_8eebe371090a,"Columbia University College of Physicians and Surgeons Residency: Internal Medicine, Weill Cornell Medical School - New York Presbyterian",columbia university college physicians surgeons residency internal medicine weill cornell medical school new york presbyterian,medical_school,,cleaned_label,0.55
org_medical-school-columbia-university-vagelos-colle_935ca48ffd5a,Columbia University Vagelos College of Physicians and Surgeons,columbia university vagelos college physicians surgeons,medical_school,,cleaned_label,0.55
org_medical-school-cooper-medical-school-rowan-unive_f10e9c62a42b,Cooper Medical School of Rowan University,cooper medical school rowan university,medical_school,,cleaned_label,0.55
org_medical-school-creighton-university-school-medic_1c5075722bad,Creighton University School of Medicine,creighton university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-dartmouth-college_9cb8cc1c64e7,Dartmouth College,dartmouth college,medical_school,,cleaned_label,0.55
org_medical-school-dartmouth-geisel-school-medicine_9a7798fd40e7,Dartmouth Geisel School of Medicine,dartmouth geisel school medicine,medical_school,,cleaned_label,0.55
org_medical-school-dartmouth-medical-school_a2ca61df580c,Dartmouth Medical School,dartmouth medical school,medical_school,,cleaned_label,0.55
org_medical-school-dell-medical-school_2456acb97ea3,Dell Medical School,dell medical school,medical_school,,cleaned_label,0.55
org_medical-school-donald-barbara-zucker-school-medi_2ce9b5e8bbe4,Donald and Barbara Zucker School of Medicine at Hofstra/Norhwell,donald barbara zucker school medicine hofstra norhwell,medical_school,,cleaned_label,0.55
org_medical-school-donald-barbara-zucker-school-medi_9bc11d2d62d9,"Donald and Barbara Zucker School of Medicine at Hofstra/Northwell, Hempstead, NY",donald barbara zucker school medicine hofstra northwell hempstead ny,medical_school,,cleaned_label,0.55
org_medical-school-drexel-university_c4f1ea83f1c1,Drexel University,drexel university,medical_school,,cleaned_label,0.55
org_medical-school-drexel-university-college-medicin_5027d9a1ac84,Drexel University College of Medicine,drexel university college medicine,medical_school,,cleaned_label,0.55
org_medical-school-duke_b672992de729,Duke,duke,medical_school,,cleaned_label,0.55
org_medical-school-duke-university_0ad9d0e65dad,Duke University,duke university,medical_school,,cleaned_label,0.55
org_medical-school-duke-university-school-medicine_7a7a5aaf58cf,Duke University School of Medicine,duke university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-eastern-virginia-medical-school_87d92a8002d5,Eastern Virginia Medical School,eastern virginia medical school,medical_school,,cleaned_label,0.55
org_medical-school-emory-school-medicine_73c1b537810c,Emory School of Medicine,emory school medicine,medical_school,,cleaned_label,0.55
org_medical-school-emory-university_9526cf3b8f51,Emory University,emory university,medical_school,,cleaned_label,0.55
org_medical-school-emory-university-school-medicine_ae11c9e61921,Emory University School of Medicine,emory university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-first-moscow-state-medical-univer_b808b81391ea,First Moscow State Medical University,first moscow state medical university,medical_school,,cleaned_label,0.55
org_medical-school-florida-international-university-_354d21b85b9b,Florida International University Herbert Wertheim College of Medicine,florida international university herbert wertheim college medicine,medical_school,,cleaned_label,0.55
org_medical-school-geisel-school-medicine-dartmouth_20450137bd58,Geisel School of Medicine at Dartmouth,geisel school medicine dartmouth,medical_school,,cleaned_label,0.55
org_medical-school-george-washington-university_2e7ad18471db,George Washington University,george washington university,medical_school,,cleaned_label,0.55
org_medical-school-george-washington-university-scho_0fc65a4634a1,George Washington University School of Medicine & Health Sciences,george washington university school medicine health sciences,medical_school,,cleaned_label,0.55
org_medical-school-georgetown-university-school-medi_ec6d7f339192,Georgetown University School of Medicine,georgetown university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-hackensack-meridian-school-medici_47bd28c95dd5,Hackensack Meridian School of Medicine,hackensack meridian school medicine,medical_school,,cleaned_label,0.55
org_medical-school-harvard_f10825f42f56,Harvard,harvard,medical_school,,cleaned_label,0.55
org_medical-school-harvard-medical-school_cfdbd83dd8ff,Harvard Medical School,harvard medical school,medical_school,,cleaned_label,0.55
org_medical-school-harvard-medical-school-residency-_cb4041865fd8,"Harvard Medical School Residency: Internal Medicine, UMass Chan Medical School",harvard medical school residency internal medicine umass chan medical school,medical_school,,cleaned_label,0.55
org_medical-school-howard-university-college-medicin_5c0a5014c4e2,Howard University College of Medicine,howard university college medicine,medical_school,,cleaned_label,0.55
org_medical-school-icahn-school-medicine-mount-sinai_2db4ba229444,"Icahn School of Medicine At Mount Sinai, New York, NY",icahn school medicine mount sinai new york ny,medical_school,,cleaned_label,0.55
org_medical-school-icahn-school-medicine-mount-sinai_3b3d05687999,Icahn School of Medicine at Mount Sinai,icahn school medicine mount sinai,medical_school,Mount Sinai,seeded_alias,0.98
org_medical-school-icahn-school-medicine-mt-sinai_f5e7e584d813,Icahn School of Medicine at Mt. Sinai,icahn school medicine mt sinai,medical_school,,cleaned_label,0.55
