candidate_key,official_program_key,department,program_type,program_name,coverage_status,source_role,candidate_status,priority,confidence,candidate_title,candidate_url,http_status,roster_term_count,context_term_count,reasons,error
program_source_candidate_hup-gme-fellowship-reproductive-endocrinology-an_71f2cbdab65b,hup_gme_fellowship_reproductive-endocrinology-and-infertility_2a70bffffe74,Obstetrics and Gynecology,fellowship,Reproductive Endocrinology and Infertility,not_discovered,official_program_url,roster_source_candidate,90,0.45,Reproductive Endocrinology - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/reproductive-endocrinology,200,1,2,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-fellowship-urogynecology-and-reconstruct_f6ca05464edb,hup_gme_fellowship_urogynecology-and-reconstructive-pelvic-surgery_cd33cc4131ec,Obstetrics and Gynecology,fellowship,Urogynecology and Reconstructive Pelvic Surgery,not_discovered,official_program_url,roster_source_candidate,90,0.45,Urogynecology - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/urogynecology,200,1,2,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-residency-radiology-interventional-indep_83cbc71e313f,hup_gme_residency_radiology-interventional-independent_951079567585,Radiology,residency,"Radiology - Interventional, Independent",discovered_no_current_roster,official_program_url,roster_source_candidate,80,0.45,Interventional Radiology Integrated and Independent Residency,https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/residency-programs/irdr-interventional-radiology,200,2,2,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-fellowship-plastic-surgery-b33a31a2ab76-_582af82a237e,hup_gme_fellowship_plastic-surgery_b33a31a2ab76,Surgery,fellowship,Plastic Surgery,discovered_no_current_roster,official_program_url,roster_source_candidate,80,0.45,Plastic Surgery Integrated & Independent Residency - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/residencies/plastic-surgery,200,2,3,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-fellowship-dermatopathology-0b133cf636fb_a1f72e4f2477,hup_gme_fellowship_dermatopathology_0b133cf636fb,Dermatology,fellowship,Dermatopathology,not_discovered,official_program_url,program_context_candidate,50,0.35,,https://dermatology.upenn.edu/education/fellowship-training/dermatopathology,200,0,0,official_program_url,
program_source_candidate_hup-gme-fellowship-micrographic-surgery-and-derm_2c75f78016c2,hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,Dermatology,fellowship,Micrographic Surgery and Dermatologic Oncology,not_discovered,official_program_url,program_context_candidate,50,0.35,,https://dermatology.upenn.edu/education/fellowship-training/micrographic-oncology-fellowship,200,0,0,official_program_url,
program_source_candidate_hup-gme-residency-occupational-and-environmental_3515183e06b5,hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885,Emergency Medicine,residency,Occupational and Environmental Medicine (Preventative Medicine),not_discovered,official_program_url,program_context_candidate,50,0.35,,https://www.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/oem-residency-program,200,0,0,official_program_url,
program_source_candidate_hup-gme-fellowship-clinical-neurophysiology-8096_7bb4e3c58562,hup_gme_fellowship_clinical-neurophysiology_809610fb6bad,Neurology,fellowship,Clinical Neurophysiology,not_discovered,official_program_url,program_context_candidate,50,0.35,Epilepsy | Penn Neurology Fellowship Programs,https://neurofellowships.uphs.upenn.edu/p/neurophysiologyepilepsy.html,200,0,3,official_program_url,
program_source_candidate_hup-gme-fellowship-epilepsy-27d63d79e62b-https-n_e4e9220127c9,hup_gme_fellowship_epilepsy_27d63d79e62b,Neurology,fellowship,Epilepsy,not_discovered,official_program_url,program_context_candidate,50,0.35,Epilepsy | Penn Neurology Fellowship Programs,https://neurofellowships.uphs.upenn.edu/p/neurophysiologyepilepsy.html,200,0,3,official_program_url,
program_source_candidate_hup-gme-fellowship-neuromuscular-medicine-c7eb4b_4fbc7ea6492c,hup_gme_fellowship_neuromuscular-medicine_c7eb4bea296a,Neurology,fellowship,Neuromuscular Medicine,not_discovered,official_program_url,program_context_candidate,50,0.35,Neuromuscular Medicine | Penn Neurology Fellowship Programs,https://neurofellowships.uphs.upenn.edu/p/neuromuscular.html,200,0,2,official_program_url,
